User_ID,Transaction_Time,Amount,Transaction_Type,Location,Status,risk_score,risk_level,flag_high_amount,flag_very_high_amount,flag_night,flag_online_high,flag_anomaly,flag_high_freq,Is_Fraud
User_4553,2025-10-15 07:55:40.113522,9784.28,WITHDRAWAL,ONLINE,COMPLETED,75,CRITICAL,1,1,0,1,1,0,YES
User_4682,2025-03-04 07:55:40.113498,9795.85,DEPOSIT,ONLINE,PENDING,75,CRITICAL,1,1,0,1,1,0,NO
User_4719,2025-09-08 07:55:40.035305,9998.2,DEPOSIT,ONLINE,COMPLETED,75,CRITICAL,1,1,0,1,1,0,YES
User_1336,2025-04-25 07:55:40.034969,9689.03,TRANSFER,ONLINE,COMPLETED,75,CRITICAL,1,1,0,1,1,0,YES
User_4964,2025-11-08 07:55:40.113024,9569.57,DEPOSIT,ONLINE,FAILED,75,CRITICAL,1,1,0,1,1,0,NO
User_325,2025-11-20 07:55:40.112781,9737.42,DEPOSIT,ONLINE,PENDING,75,CRITICAL,1,1,0,1,1,0,NO
User_694,2026-01-09 07:55:40.112737,9752.16,TRANSFER,ONLINE,COMPLETED,75,CRITICAL,1,1,0,1,1,0,YES
User_3293,2025-08-15 07:55:40.112605,9754.31,DEPOSIT,ONLINE,PENDING,75,CRITICAL,1,1,0,1,1,0,NO
User_4468,2025-07-11 07:55:40.112546,9653.56,DEPOSIT,ONLINE,COMPLETED,75,CRITICAL,1,1,0,1,1,0,YES
User_184,2025-12-15 07:55:40.035953,9640.31,DEPOSIT,ONLINE,PENDING,75,CRITICAL,1,1,0,1,1,0,NO
User_4101,2025-06-08 07:55:40.033622,9713.04,DEPOSIT,ONLINE,FAILED,75,CRITICAL,1,1,0,1,1,0,NO
User_366,2025-06-04 07:55:40.083385,9584.68,TRANSFER,ONLINE,PENDING,75,CRITICAL,1,1,0,1,1,0,NO
User_3664,2025-03-03 07:55:40.083288,9893.57,DEPOSIT,ONLINE,COMPLETED,75,CRITICAL,1,1,0,1,1,0,YES
User_4995,2025-08-31 07:55:40.083045,9627.48,TRANSFER,ONLINE,COMPLETED,75,CRITICAL,1,1,0,1,1,0,YES
User_4136,2026-01-17 07:55:40.004199,9551.53,TRANSFER,ONLINE,PENDING,75,CRITICAL,1,1,0,1,1,0,NO
User_4433,2025-05-08 07:55:40.004174,9933.53,DEPOSIT,ONLINE,FAILED,75,CRITICAL,1,1,0,1,1,0,NO
User_4602,2025-02-28 07:55:40.134709,9650.01,WITHDRAWAL,ONLINE,PENDING,75,CRITICAL,1,1,0,1,1,0,NO
User_3177,2025-11-06 07:55:40.134553,9570.15,DEPOSIT,ONLINE,COMPLETED,75,CRITICAL,1,1,0,1,1,0,YES
User_1905,2025-06-16 07:55:40.005572,9680.58,TRANSFER,ONLINE,PENDING,75,CRITICAL,1,1,0,1,1,0,NO
User_1273,2025-04-29 07:55:40.005326,9878.62,WITHDRAWAL,ONLINE,COMPLETED,75,CRITICAL,1,1,0,1,1,0,YES
User_1573,2025-03-24 07:55:40.082868,9798.97,TRANSFER,ONLINE,FAILED,75,CRITICAL,1,1,0,1,1,0,NO
User_4488,2026-01-22 07:55:40.082753,9626.46,DEPOSIT,ONLINE,PENDING,75,CRITICAL,1,1,0,1,1,0,NO
User_4042,2025-05-23 07:55:40.082619,9719.89,TRANSFER,ONLINE,COMPLETED,75,CRITICAL,1,1,0,1,1,0,YES
User_582,2025-11-06 07:55:40.082327,9981.2,WITHDRAWAL,ONLINE,COMPLETED,75,CRITICAL,1,1,0,1,1,0,YES
User_176,2025-08-09 07:55:40.082317,9812.04,WITHDRAWAL,ONLINE,FAILED,75,CRITICAL,1,1,0,1,1,0,NO
User_3681,2025-07-11 07:55:40.078966,9986.85,DEPOSIT,ONLINE,PENDING,75,CRITICAL,1,1,0,1,1,0,NO
User_389,2026-02-10 07:55:40.084800,9976.19,TRANSFER,ONLINE,PENDING,75,CRITICAL,1,1,0,1,1,0,NO
User_4134,2025-11-20 07:55:40.084593,9517.31,TRANSFER,ONLINE,COMPLETED,75,CRITICAL,1,1,0,1,1,0,YES
